epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.44231,1.01868,1.80792,3.01699,1.29184,0.40159,0.92181,0.6314,0.4022,0.44101,0.96121,0.6896,0.46716,1.003,1.84803,4.26739,1.54056,0.0001429,0.0001429,0.0001429
2,12.4712,0.8407,1.42206,2.05716,1.14718,0.36648,0.44926,0.34468,0.1496,0.07153,0.09524,0.03209,0.01307,1.47426,39.9732,2.99039,1.5866,0.000297119,0.000297119,0.000297119
3,17.8981,1.00142,1.61789,2.16236,1.2053,0.52862,0.36905,0.3828,0.25023,0.47857,0.36905,0.25662,0.11527,1.27915,11.5573,3.42898,1.46565,0.000448226,0.000448226,0.000448226
4,23.3439,0.95977,1.65247,2.04312,1.16678,0.21584,0.61905,0.43077,0.30737,0.22777,0.57143,0.40207,0.21598,1.15211,7.94469,4.49041,1.39927,0.00059622,0.00059622,0.00059622
5,28.988,1.01387,1.65136,1.93073,1.22185,0.00808,0.86905,0.01515,0.00741,0.00598,0.45238,0.00742,0.00405,1.31859,22.0983,256.846,1.94109,0.000741102,0.000741102,0.000741102
6,34.4224,0.99791,1.66411,1.77765,1.18283,0.1045,0.35714,0.08414,0.0479,0.05919,0.32143,0.0716,0.02558,1.6107,59.393,165.085,2.80175,0.000882872,0.000882872,0.000882872
7,39.8104,1.0721,1.69991,1.87604,1.19949,0.13818,0.57143,0.31736,0.15871,0.151,0.61905,0.38701,0.17714,1.78943,53.6957,29.8103,3.62486,0.00102153,0.00102153,0.00102153
8,45.3779,1.06647,1.54385,1.65053,1.24037,0.17965,0.57143,0.19851,0.10726,0.17316,0.45238,0.2367,0.07571,1.37188,79.624,26.7751,3.02199,0.00115707,0.00115707,0.00115707
9,50.9262,1.1744,1.66006,1.72006,1.32362,0.16667,0.08333,0.08554,0.0171,0.00121,0.16667,0.00177,0.00032,4.26925,172.306,400.575,10.5118,0.00128951,0.00128951,0.00128951
10,56.5131,0.98892,1.38382,1.67413,1.20784,0.04424,0.14286,0.03224,0.01215,0.07132,0.27381,0.05459,0.00932,2.51831,44.3753,92.5066,3.69517,0.00130168,0.00130168,0.00130168
